block_start_ist,mcp_rs_per_mwh
2026-08-27T13:15:00+05:30,1860.42
2026-08-27T13:30:00+05:30,1966.45
2026-08-27T13:45:00+05:30,2000.13
2026-08-27T14:00:00+05:30,2080.47
2026-08-27T14:15:00+05:30,2080.16
2026-08-27T14:30:00+05:30,2203.03
2026-08-27T14:45:00+05:30,2396.95
2026-08-27T15:00:00+05:30,2620.69
2026-08-27T15:15:00+05:30,2989.95
2026-08-27T15:30:00+05:30,3189.54
2026-08-27T15:45:00+05:30,3399.51
2026-08-27T16:00:00+05:30,3603.98
2026-08-27T16:15:00+05:30,3743.21
2026-08-27T16:30:00+05:30,4419.83
2026-08-27T16:45:00+05:30,5483.95
2026-08-27T17:00:00+05:30,5483.84
2026-08-27T17:15:00+05:30,6000.12
2026-08-27T17:30:00+05:30,6999.17
2026-08-27T17:45:00+05:30,9992.50
